subject_name,course_link,course_Name,course_Code,uoc,conditions_For_Enrolment,exclusion_Courses,faculty,school,offering_Term,COURSEID
 Accounting,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ACCT4794/?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&,Thesis (Accounting),ACCT4794,24,Prerequisite: Must be enrolled in program 4501 (Accounting),,UNSW Business School,School of Accounting,"Term 1, Term 2, Term 3",1
 Actuarial Studies,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ACTL4000/?browseBySubjectArea=7cce03204f0f5b00eeb3eb4f0310c709&,Thesis (Actuarial Studies),ACTL4000,24,Prerequisite: Admission to BCom Hons in Actuarial Studies,,UNSW Business School,School of Risk and Actuarial Studies,"Term 1, Term 2, Term 3",2
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4603/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Dance Studies Honours,ARTS4603,24,Prerequisite: Enrolment in the Dance Studies honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",3
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4607/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,English Honours,ARTS4607,24,Prerequisite: Enrolment in the English honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",4
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4611/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Film Studies Honours,ARTS4611,24,Prerequisite: Enrolment in the Film Studies honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",5
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4615/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,"Media, Culture and Technology Honours",ARTS4615,24,"Prerequisite: Enrolment in Media, Culture and Technology honours program",,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",6
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4619/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Theatre and Performance Studies Honours,ARTS4619,24,Prerequisite: Enrolment in Theatre and Performance Studies honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",7
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4623/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Creative Writing Honours,ARTS4623,24,Prerequisite: Enrolment in a Creative Writing honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",8
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4703/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Environmental Humanities Honours,ARTS4703,24,Prerequisite: Enrolment in Environmental Humanities honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",9
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4707/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,History Honours,ARTS4707,24,Prerequisite: Enrolment in the History honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",10
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4715/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Philosophy Honours,ARTS4715,24,Prerequisite: Enrolment in the Philosophy honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",11
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4813/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Asian Studies Honours,ARTS4813,24,Prerequisite: Enrolment in the Asian Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",12
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4817/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Chinese Studies Honours,ARTS4817,24,Prerequisite: Enrolment in the Chinese Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",13
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4821/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,French Studies Honours,ARTS4821,24,Prerequisite: Enrolment in the French Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",14
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4825/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Spanish & Latin American Studies Honours,ARTS4825,24,Prerequisite: Enrolment in the Spanish and Latin American Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",15
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4829/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Japanese Studies Honours,ARTS4829,24,Prerequisite: Enrolment in the Japanese Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",16
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4833/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Korean Studies Honours,ARTS4833,24,Prerequisite: Enrolment in the Korean Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",17
